run_index,task_id,system,scenario,task_family,failure_type,success,raw_success,stop_reason,trace_path,tool_calls,user_queries,turn_count,expected_turn_count,expected_tool_calls,matched_milestones,total_milestones,milestone_similarity,milestone_coverage,interaction_efficiency,tool_efficiency,turn_efficiency,hallucination_avoidance,state_dependency_score,result_summary_coverage,reference_summary_coverage,primary_category,categories,result_summary_source,raw_repair_actions,raw_repair_triggered,raw_total_steps,reuse_pass_index,reused_artifact,second_run_improvement
2,toolsandbox_state_dep_001,a3_interaction,state_dependency,t2_dynamic_branching,state_dependency,True,True,success_criteria_satisfied,outputs/remote/toolsandbox_core_r3_persist_pass2/runs/run_02/traces/001_toolsandbox_state_dep_001_a3_interaction.json,2,0,4,2,2,2,2,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.0,state_dependency,"[""state_dependency"", ""multiple_tool""]",toolclaw_proxy,0,0,2,0,False,0.0
2,toolsandbox_state_dep_001,a4_reuse,state_dependency,t2_dynamic_branching,state_dependency,True,True,success_criteria_satisfied,outputs/remote/toolsandbox_core_r3_persist_pass2/runs/run_02/traces/001_toolsandbox_state_dep_001_a4_reuse.json,2,0,4,2,2,2,2,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.0,state_dependency,"[""state_dependency"", ""multiple_tool""]",toolclaw_proxy,0,0,2,0,True,0.0
2,toolsandbox_state_dep_002,a3_interaction,state_dependency,t2_dynamic_branching,state_dependency,True,True,success_criteria_satisfied,outputs/remote/toolsandbox_core_r3_persist_pass2/runs/run_02/traces/002_toolsandbox_state_dep_002_a3_interaction.json,2,0,4,2,2,3,3,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.0,state_dependency,"[""state_dependency"", ""canonicalization"", ""multiple_tool""]",toolclaw_proxy,0,0,2,0,False,0.0
2,toolsandbox_state_dep_002,a4_reuse,state_dependency,t2_dynamic_branching,state_dependency,True,True,success_criteria_satisfied,outputs/remote/toolsandbox_core_r3_persist_pass2/runs/run_02/traces/002_toolsandbox_state_dep_002_a4_reuse.json,2,0,4,2,2,3,3,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.0,state_dependency,"[""state_dependency"", ""canonicalization"", ""multiple_tool""]",toolclaw_proxy,0,0,2,0,True,0.0
2,toolsandbox_missing_info_001,a3_interaction,environment_failure,t1_static_recovery,environment_failure,True,True,success_criteria_satisfied,outputs/remote/toolsandbox_core_r3_persist_pass2/runs/run_02/traces/003_toolsandbox_missing_info_001_a3_interaction.json,3,1,7,3,2,3,3,1.0,1.0,0.4,0.85,0.19999999999999996,1.0,1.0,1.0,0.0,insufficient_information,"[""insufficient_information"", ""multiple_user_turn"", ""multiple_tool""]",toolclaw_proxy,0,1,2,0,False,0.0
2,toolsandbox_missing_info_001,a4_reuse,environment_failure,t1_static_recovery,environment_failure,True,True,success_criteria_satisfied,outputs/remote/toolsandbox_core_r3_persist_pass2/runs/run_02/traces/003_toolsandbox_missing_info_001_a4_reuse.json,3,1,7,3,2,3,3,1.0,1.0,0.4,0.85,0.19999999999999996,1.0,1.0,1.0,0.0,insufficient_information,"[""insufficient_information"", ""multiple_user_turn"", ""multiple_tool""]",toolclaw_proxy,0,1,2,0,True,0.0
2,toolsandbox_missing_info_002,a3_interaction,binding_failure,t1_static_recovery,binding_failure,True,True,success_criteria_satisfied,outputs/remote/toolsandbox_core_r3_persist_pass2/runs/run_02/traces/004_toolsandbox_missing_info_002_a3_interaction.json,2,0,3,2,2,3,3,1.0,1.0,0.85,1.0,0.8,1.0,1.0,1.0,0.0,insufficient_information,"[""insufficient_information"", ""single_user_turn""]",toolclaw_proxy,1,1,2,0,False,0.0
2,toolsandbox_missing_info_002,a4_reuse,binding_failure,t1_static_recovery,binding_failure,True,True,success_criteria_satisfied,outputs/remote/toolsandbox_core_r3_persist_pass2/runs/run_02/traces/004_toolsandbox_missing_info_002_a4_reuse.json,2,0,4,2,2,3,3,1.0,1.0,0.7,1.0,0.6,1.0,1.0,1.0,0.0,insufficient_information,"[""insufficient_information"", ""single_user_turn""]",toolclaw_proxy,0,0,2,0,True,0.0
2,toolsandbox_multi_turn_approval_001,a3_interaction,multiple_user_turn,t3_must_interact,multiple_user_turn,True,True,success_criteria_satisfied,outputs/remote/toolsandbox_core_r3_persist_pass2/runs/run_02/traces/005_toolsandbox_multi_turn_approval_001_a3_interaction.json,2,2,8,3,2,3,3,1.0,1.0,0.25,1.0,0.0,1.0,1.0,1.0,0.0,multiple_user_turn,"[""multiple_user_turn"", ""state_dependency""]",toolclaw_proxy,0,2,2,0,False,0.0
2,toolsandbox_multi_turn_approval_001,a4_reuse,multiple_user_turn,t3_must_interact,multiple_user_turn,True,True,success_criteria_satisfied,outputs/remote/toolsandbox_core_r3_persist_pass2/runs/run_02/traces/005_toolsandbox_multi_turn_approval_001_a4_reuse.json,2,2,8,3,2,3,3,1.0,1.0,0.25,1.0,0.0,1.0,1.0,1.0,0.0,multiple_user_turn,"[""multiple_user_turn"", ""state_dependency""]",toolclaw_proxy,0,2,2,0,True,0.0
