run_index,task_id,system,scenario,task_family,failure_type,success,tool_calls,repair_actions,repair_triggered,user_turns,total_steps,token_cost,wall_clock_ms,observed_error_type,first_failure_recovered,repair_extra_tool_calls,repair_extra_user_turns,repair_user_clarification,reuse_pass_index,reused_artifact,second_run_improvement,stop_reason,trace_path
3,toolsandbox_state_dep_001,tc_full,state_dependency,t2_dynamic_branching,state_dependency,True,2,0,0,0,2,0.0,0,state_dependency,False,0,0,False,0,False,0.0,success_criteria_satisfied,outputs/remote/toolsandbox_matched_20260406_090111/runs/run_03/traces/001_toolsandbox_state_dep_001_tc_full.json
3,toolsandbox_state_dep_001,tc_no_repair,state_dependency,t2_dynamic_branching,state_dependency,True,2,0,0,0,2,0.0,0,state_dependency,False,0,0,False,0,False,0.0,success_criteria_satisfied,outputs/remote/toolsandbox_matched_20260406_090111/runs/run_03/traces/001_toolsandbox_state_dep_001_tc_no_repair.json
3,toolsandbox_state_dep_001,tc_no_fallback,state_dependency,t2_dynamic_branching,state_dependency,True,2,0,0,0,2,0.0,0,state_dependency,False,0,0,False,0,False,0.0,success_criteria_satisfied,outputs/remote/toolsandbox_matched_20260406_090111/runs/run_03/traces/001_toolsandbox_state_dep_001_tc_no_fallback.json
3,toolsandbox_state_dep_001,tc_no_reuse,state_dependency,t2_dynamic_branching,state_dependency,True,2,0,0,0,2,0.0,0,state_dependency,False,0,0,False,0,False,0.0,success_criteria_satisfied,outputs/remote/toolsandbox_matched_20260406_090111/runs/run_03/traces/001_toolsandbox_state_dep_001_tc_no_reuse.json
3,toolsandbox_state_dep_001,tc_planner_only,state_dependency,t2_dynamic_branching,state_dependency,True,2,0,0,0,2,0.0,0,state_dependency,False,0,0,False,0,False,0.0,success_criteria_satisfied,outputs/remote/toolsandbox_matched_20260406_090111/runs/run_03/traces/001_toolsandbox_state_dep_001_tc_planner_only.json
3,toolsandbox_state_dep_002,tc_full,state_dependency,t2_dynamic_branching,state_dependency,True,2,0,0,0,2,0.0,0,state_dependency,False,0,0,False,0,True,0.0,success_criteria_satisfied,outputs/remote/toolsandbox_matched_20260406_090111/runs/run_03/traces/002_toolsandbox_state_dep_002_tc_full.json
3,toolsandbox_state_dep_002,tc_no_repair,state_dependency,t2_dynamic_branching,state_dependency,True,2,0,0,0,2,0.0,0,state_dependency,False,0,0,False,0,False,0.0,success_criteria_satisfied,outputs/remote/toolsandbox_matched_20260406_090111/runs/run_03/traces/002_toolsandbox_state_dep_002_tc_no_repair.json
3,toolsandbox_state_dep_002,tc_no_fallback,state_dependency,t2_dynamic_branching,state_dependency,True,2,0,0,0,2,0.0,0,state_dependency,False,0,0,False,0,False,0.0,success_criteria_satisfied,outputs/remote/toolsandbox_matched_20260406_090111/runs/run_03/traces/002_toolsandbox_state_dep_002_tc_no_fallback.json
3,toolsandbox_state_dep_002,tc_no_reuse,state_dependency,t2_dynamic_branching,state_dependency,True,2,0,0,0,2,0.0,0,state_dependency,False,0,0,False,0,False,0.0,success_criteria_satisfied,outputs/remote/toolsandbox_matched_20260406_090111/runs/run_03/traces/002_toolsandbox_state_dep_002_tc_no_reuse.json
3,toolsandbox_state_dep_002,tc_planner_only,state_dependency,t2_dynamic_branching,state_dependency,True,2,0,0,0,2,0.0,0,state_dependency,False,0,0,False,0,False,0.0,success_criteria_satisfied,outputs/remote/toolsandbox_matched_20260406_090111/runs/run_03/traces/002_toolsandbox_state_dep_002_tc_planner_only.json
