run_index,task_id,system,scenario,task_family,failure_type,success,raw_success,stop_reason,trace_path,tool_calls,user_queries,turn_count,expected_turn_count,expected_tool_calls,matched_milestones,total_milestones,milestone_similarity,milestone_coverage,interaction_efficiency,tool_efficiency,turn_efficiency,hallucination_avoidance,state_dependency_score,result_summary_coverage,reference_summary_coverage,primary_category,categories,result_summary_source,raw_repair_actions,raw_repair_triggered,raw_total_steps,raw_token_cost,raw_wall_clock_ms,observed_error_type,first_failure_recovered,repair_extra_tool_calls,repair_extra_user_turns,repair_user_clarification,reuse_pass_index,reused_artifact,second_run_improvement
1,toolsandbox_state_dep_001,tc_full,state_dependency,t2_dynamic_branching,state_dependency,True,True,success_criteria_satisfied,outputs/remote/toolsandbox_matched_20260406_090111/runs/run_01/traces/001_toolsandbox_state_dep_001_tc_full.json,2,0,4,2,2,2,2,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.0,state_dependency,"[""state_dependency"", ""multiple_tool""]",toolclaw_proxy,0,0,2,0.0,0,state_dependency,False,0,0,False,0,False,0.0
1,toolsandbox_state_dep_001,tc_no_repair,state_dependency,t2_dynamic_branching,state_dependency,True,True,success_criteria_satisfied,outputs/remote/toolsandbox_matched_20260406_090111/runs/run_01/traces/001_toolsandbox_state_dep_001_tc_no_repair.json,2,0,4,2,2,2,2,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.0,state_dependency,"[""state_dependency"", ""multiple_tool""]",toolclaw_proxy,0,0,2,0.0,0,state_dependency,False,0,0,False,0,False,0.0
1,toolsandbox_state_dep_001,tc_no_fallback,state_dependency,t2_dynamic_branching,state_dependency,True,True,success_criteria_satisfied,outputs/remote/toolsandbox_matched_20260406_090111/runs/run_01/traces/001_toolsandbox_state_dep_001_tc_no_fallback.json,2,0,4,2,2,2,2,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.0,state_dependency,"[""state_dependency"", ""multiple_tool""]",toolclaw_proxy,0,0,2,0.0,0,state_dependency,False,0,0,False,0,False,0.0
1,toolsandbox_state_dep_001,tc_no_reuse,state_dependency,t2_dynamic_branching,state_dependency,True,True,success_criteria_satisfied,outputs/remote/toolsandbox_matched_20260406_090111/runs/run_01/traces/001_toolsandbox_state_dep_001_tc_no_reuse.json,2,0,4,2,2,2,2,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.0,state_dependency,"[""state_dependency"", ""multiple_tool""]",toolclaw_proxy,0,0,2,0.0,0,state_dependency,False,0,0,False,0,False,0.0
1,toolsandbox_state_dep_001,tc_planner_only,state_dependency,t2_dynamic_branching,state_dependency,True,True,success_criteria_satisfied,outputs/remote/toolsandbox_matched_20260406_090111/runs/run_01/traces/001_toolsandbox_state_dep_001_tc_planner_only.json,2,0,4,2,2,2,2,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.0,state_dependency,"[""state_dependency"", ""multiple_tool""]",toolclaw_proxy,0,0,2,0.0,0,state_dependency,False,0,0,False,0,False,0.0
1,toolsandbox_state_dep_002,tc_full,state_dependency,t2_dynamic_branching,state_dependency,True,True,success_criteria_satisfied,outputs/remote/toolsandbox_matched_20260406_090111/runs/run_01/traces/002_toolsandbox_state_dep_002_tc_full.json,2,0,4,2,2,3,3,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.0,state_dependency,"[""state_dependency"", ""canonicalization"", ""multiple_tool""]",toolclaw_proxy,0,0,2,0.0,0,state_dependency,False,0,0,False,0,True,0.0
1,toolsandbox_state_dep_002,tc_no_repair,state_dependency,t2_dynamic_branching,state_dependency,True,True,success_criteria_satisfied,outputs/remote/toolsandbox_matched_20260406_090111/runs/run_01/traces/002_toolsandbox_state_dep_002_tc_no_repair.json,2,0,4,2,2,3,3,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.0,state_dependency,"[""state_dependency"", ""canonicalization"", ""multiple_tool""]",toolclaw_proxy,0,0,2,0.0,0,state_dependency,False,0,0,False,0,False,0.0
1,toolsandbox_state_dep_002,tc_no_fallback,state_dependency,t2_dynamic_branching,state_dependency,True,True,success_criteria_satisfied,outputs/remote/toolsandbox_matched_20260406_090111/runs/run_01/traces/002_toolsandbox_state_dep_002_tc_no_fallback.json,2,0,4,2,2,3,3,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.0,state_dependency,"[""state_dependency"", ""canonicalization"", ""multiple_tool""]",toolclaw_proxy,0,0,2,0.0,0,state_dependency,False,0,0,False,0,False,0.0
1,toolsandbox_state_dep_002,tc_no_reuse,state_dependency,t2_dynamic_branching,state_dependency,True,True,success_criteria_satisfied,outputs/remote/toolsandbox_matched_20260406_090111/runs/run_01/traces/002_toolsandbox_state_dep_002_tc_no_reuse.json,2,0,4,2,2,3,3,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.0,state_dependency,"[""state_dependency"", ""canonicalization"", ""multiple_tool""]",toolclaw_proxy,0,0,2,0.0,0,state_dependency,False,0,0,False,0,False,0.0
1,toolsandbox_state_dep_002,tc_planner_only,state_dependency,t2_dynamic_branching,state_dependency,True,True,success_criteria_satisfied,outputs/remote/toolsandbox_matched_20260406_090111/runs/run_01/traces/002_toolsandbox_state_dep_002_tc_planner_only.json,2,0,4,2,2,3,3,1.0,1.0,1.0,1.0,0.6,1.0,1.0,1.0,0.0,state_dependency,"[""state_dependency"", ""canonicalization"", ""multiple_tool""]",toolclaw_proxy,0,0,2,0.0,0,state_dependency,False,0,0,False,0,False,0.0
